_1,_2,_3,_4
1965_NCAA_Division_I_Men's_Soccer_Championship,"[""Event""]",Person,-508.456
1969_European_Cup_Winners'_Cup_Final,"[""Event""]",Person,-550.965
1970_NCAA_Division_I_Men's_Soccer_Championship,"[""Event""]",Person,-504.219
1973%E2%80%9374_Duke_Blue_Devils_men's_basketball_team,"[""SportsSeason""]",Person,-344.469
1975%E2%80%9376_Purdue_Boilermakers_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-135.52
1980_European_Cup_Winners'_Cup_Final,"[""Event""]",Event,-474.208
1982%E2%80%9383_Princeton_Tigers_men's_basketball_team,"[""SportsSeason""]",Person,-1964.668
1983%E2%80%9384_Louisville_Cardinals_men's_basketball_team,"[""SportsSeason""]",Person,-730.689
1983%E2%80%9384_Oklahoma_Sooners_men's_basketball_team,"[""SportsSeason""]",Person,-1674.938
1984%E2%80%9385_Indiana_Hoosiers_men's_basketball_team,"[""SportsSeason""]",Person,-271.123
1984_NCAA_Division_I_Men's_Soccer_Championship,"[""Event""]",Person,-592.252
1988%E2%80%9389_St._John's_Redmen_basketball_team,"[""SportsSeason""]",Person,-440.512
1989%E2%80%9390_European_Cup_Winners'_Cup,"[""Event""]",Person,-359.179
1989_NCAA_Division_I_Men's_Soccer_Championship,"[""Event""]",Person,-765.425
1989_U.S._Women's_Open_Golf_Championship,"[""Event""]",Person,-709.169
1990%E2%80%9391_Kansas_Jayhawks_men's_basketball_team,"[""SportsSeason""]",Person,-401.044
1990%E2%80%9391_UNLV_Runnin'_Rebels_basketball_team,"[""SportsSeason""]",Person,-1148.858
1990_Kids'_Choice_Awards,"[""other""]",Work,-349.835
1991%E2%80%9392_Duke_Blue_Devils_men's_basketball_team,"[""SportsSeason""]",Person,-718.911
1991%E2%80%9392_Kentucky_Wildcats_men's_basketball_team,"[""SportsSeason""]",Person,-2981.041
1991%E2%80%9392_Michigan_Wolverines_men's_basketball_team,"[""SportsSeason""]",Person,-5227.981
1993%E2%80%9394_St._John's_Redmen_basketball_team,"[""SportsSeason""]",Person,-425.929
1993_All-Ireland_Senior_Ladies'_Football_Championship_Final,"[""Event""]",Person,-408.446
1993_European_Cup_Winners'_Cup_Final,"[""Event""]",Person,-1533.339
1993_U.S._Women's_Open_Golf_Championship,"[""Event""]",Person,-1128.466
1994_All-Ireland_Senior_Ladies'_Football_Championship_Final,"[""Event""]",Person,-313.39
1995%E2%80%9396_Ohio_Bobcats_men's_basketball_team,"[""SportsSeason""]",Person,-233.735
1996%E2%80%9397_Kentucky_Wildcats_men's_basketball_team,"[""SportsSeason""]",Person,-240.466
1999_Kids'_Choice_Awards,"[""other""]",Work,-477.997
1999_NCAA_Division_I_Men's_Soccer_Championship,"[""Event""]",Person,-649.262
2000_European_Speedway_Club_Champions'_Cup,"[""SportsSeason""]",Person,-56.324
2001%E2%80%9302_Georgetown_Hoyas_men's_basketball_team,"[""SportsSeason""]",Person,-1175.945
2001%E2%80%9302_Illinois_Fighting_Illini_men's_basketball_team,"[""SportsSeason""]",Person,-101.87
2001_U.S._Women's_Open_Golf_Championship,"[""Event""]",Person,-695.342
2002%E2%80%9303_Marquette_Golden_Eagles_men's_basketball_team,"[""SportsSeason""]",Person,-377.718
2003%E2%80%9304_Alabama%E2%80%93Huntsville_Chargers_men's_ice_hockey_season,"[""SportsSeason""]",Person,-445.662
2003_Central_African_Republic_coup_d'%C3%A9tat,"[""Event""]",Person,-1662.006
2003_FIFA_Women's_World_Cup,"[""Event""]",Person,-1881.147
2004%E2%80%9305_Connecticut_Huskies_men's_basketball_team,"[""SportsSeason""]",Person,-138.127
2004%E2%80%9305_George_Mason_Patriots_men's_basketball_team,"[""SportsSeason""]",Person,-299.626
2004%E2%80%9305_St._John's_Red_Storm_men's_basketball_team,"[""SportsSeason""]",Person,-501.858
2004%E2%80%9305_Syracuse_Orange_men's_basketball_team,"[""SportsSeason""]",Person,-857.275
2004_NCAA_Division_I_Men's_Soccer_Championship,"[""Event""]",Person,-989.295
2005%E2%80%9306_Kentucky_Wildcats_men's_basketball_team,"[""SportsSeason""]",Person,-244.593
2005%E2%80%9306_Syracuse_Orange_men's_basketball_team,"[""SportsSeason""]",Person,-706.442
2006%E2%80%9307_Illinois_Fighting_Illini_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-496.601
2006%E2%80%9307_Maryland_Terrapins_men's_basketball_team,"[""SportsSeason""]",Person,-430.292
2006%E2%80%9307_Michigan_State_Spartans_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-161.705
2006_UEFA_Women's_Cup_Final,"[""Event""]",Person,-438.744
2007%E2%80%9308_Oklahoma_Sooners_men's_basketball_team,"[""SportsSeason""]",Person,-405.863
2007%E2%80%9308_Valparaiso_Crusaders_men's_basketball_team,"[""SportsSeason""]",Person,-157.433
2007_AFC_President's_Cup,"[""Event""]",Person,-707.776
2007_America's_Cup,"[""other""]",Person,-2116.576
2007_Kids'_Choice_Awards,"[""other""]",Work,-702.237
2007_Western_&_Southern_Financial_Group_Masters_and_Women's_Open,"[""Event""]",Person,-1858.999
2008%E2%80%9309_Connecticut_Huskies_men's_basketball_team,"[""SportsSeason""]",Person,-980.608
2008%E2%80%9309_Duke_Blue_Devils_men's_basketball_team,"[""SportsSeason""]",Person,-484.388
2008%E2%80%9309_Missouri_Tigers_men's_basketball_team,"[""SportsSeason""]",Person,-388.143
2008%E2%80%9309_Syracuse_Orange_men's_basketball_team,"[""SportsSeason""]",Person,-624.699
2008_Australian_Drivers'_Championship,"[""SportsSeason""]",Person,-1262.623
2008_Four_Nations_Tournament_(women's_football),"[""Event""]",Person,-274.974
2009%E2%80%9310_Akron_Zips_men's_basketball_team,"[""SportsSeason""]",Person,-594.754
2009%E2%80%9310_BYU_Cougars_men's_basketball_team,"[""SportsSeason""]",Person,-915.066
2009%E2%80%9310_Cincinnati_Bearcats_women's_basketball_team,"[""SportsSeason""]",Person,-455.967
2009%E2%80%9310_Kansas_Jayhawks_women's_basketball_team,"[""SportsSeason""]",Person,-681.722
2009%E2%80%9310_Kansas_State_Wildcats_women's_basketball_team,"[""SportsSeason""]",Person,-288.869
2009%E2%80%9310_Notre_Dame_Fighting_Irish_women's_basketball_team,"[""SportsSeason""]",Person,-200.423
2009%E2%80%9310_Providence_Friars_men's_basketball_team,"[""SportsSeason""]",Person,-2462.483
2009%E2%80%9310_Rutgers_Scarlet_Knights_women's_basketball_team,"[""SportsSeason""]",Person,-455.044
2009%E2%80%9310_San_Diego_State_Aztecs_men's_basketball_team,"[""SportsSeason""]",Person,-804.466
2009%E2%80%9310_Virginia_Cavaliers_women's_basketball_team,"[""SportsSeason""]",Person,-273.965
2009_All-Ireland_Senior_Ladies'_Football_Championship_Final,"[""Event""]",Person,-412.619
2009_Kids'_Choice_Awards,"[""other""]",Work,-1445.706
2009_Suriname_President's_Cup,"[""Event""]",Person,-155.954
2010%E2%80%9311_EHF_Cup_Winners'_Cup,"[""Event""]",Person,-136.78
2010%E2%80%9311_EHF_Women's_Champions_League,"[""Event""]",Organisation,-388.462
2010%E2%80%9311_Iowa_State_Cyclones_men's_basketball_team,"[""SportsSeason""]",Person,-644.704
2010%E2%80%9311_Louisville_Cardinals_men's_basketball_team,"[""SportsSeason""]",Person,-1032.535
2010%E2%80%9311_Stony_Brook_Seawolves_men's_basketball_team,"[""SportsSeason""]",Person,-1007.323
2010_Australian_Drivers'_Championship,"[""SportsSeason""]",Person,-2846.844
2010_Beef_'O'_Brady's_Bowl,"[""other""]",Person,-605.76
2010_NCAA_Men's_Division_I_Basketball_Tournament,"[""other""]",Person,-3215.247
2011%E2%80%9312_Big_East_Conference_men's_basketball_season,"[""other""]",Person,-1930.126
2011%E2%80%9312_George_Mason_Patriots_men's_basketball_team,"[""SportsSeason""]",Person,-557.478
2011%E2%80%9312_Wichita_State_Shockers_men's_basketball_team,"[""SportsSeason""]",Person,-1028.499
2011_Bangladesh_coup_d'%C3%A9tat_attempt,"[""Event""]",Person,-6204.934
2011_FIFA_Ballon_d'Or,"[""Event""]",Person,-890.871
2012%E2%80%9313_EHF_Women's_Champions_League,"[""Event""]",Person,-536.693
2012%E2%80%9313_Eastern_Michigan_Eagles_men's_basketball_team,"[""SportsSeason""]",Person,-667.232
2012%E2%80%9313_Fordham_Rams_men's_basketball_team,"[""SportsSeason""]",Person,-608.844
2012%E2%80%9313_Idaho_Vandals_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-635.857
2012%E2%80%9313_James_Madison_Dukes_men's_basketball_team,"[""SportsSeason""]",Person,-796.152
2012%E2%80%9313_Lehigh_Mountain_Hawks_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-734.451
2012%E2%80%9313_Marquette_Golden_Eagles_men's_basketball_team,"[""SportsSeason""]",Person,-899.63
2012%E2%80%9313_Miami_RedHawks_men's_basketball_team,"[""SportsSeason""]",Organisation,-1219.217
2012%E2%80%9313_North_Dakota_State_Bison_men's_basketball_team,"[""SportsSeason""]",Person,-828.84
2012%E2%80%9313_Saint_Louis_Billikens_men's_basketball_team,"[""SportsSeason""]",Person,-988.064
2012%E2%80%9313_Washington_State_Cougars_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-722.926
2012_Big_West_Conference_Men's_Soccer_Tournament,"[""Event""]",Person,-665.261
2012_UEFA_Women's_Champions_League_Final,"[""Event""]",Person,-868.591
2012_Women's_British_Open,"[""Event""]",Person,-797.791
2013%E2%80%9314_Air_Force_Falcons_men's_basketball_team,"[""SportsSeason""]",Organisation,-636.786
2013%E2%80%9314_Duke_Blue_Devils_men's_basketball_team,"[""SportsSeason""]",Person,-769.278
2013%E2%80%9314_FA_Women's_Cup,"[""Event""]",Event,-282.565
2013%E2%80%9314_La_Salle_Explorers_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-575.505
2013%E2%80%9314_Morgan_State_Bears_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-651.064
2013%E2%80%9314_New_Mexico_Lobos_men's_basketball_team,"[""SportsSeason""]",Person,-750.537
2013%E2%80%9314_Northern_Arizona_Lumberjacks_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-634.302
2013%E2%80%9314_Ole_Miss_Rebels_men's_basketball_team,"[""SportsSeason""]",Person,-407.389
2013%E2%80%9314_Rice_Owls_women's_basketball_team,"[""SportsSeason""]",SportsSeason,-628.08
2013%E2%80%9314_Robert_Morris_Colonials_men's_basketball_team,"[""SportsSeason""]",Person,-942.063
2013%E2%80%9314_UC_Irvine_Anteaters_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-884.424
2013%E2%80%9314_UTSA_Roadrunners_women's_basketball_team,"[""SportsSeason""]",SportsSeason,-395.763
2013%E2%80%9314_Wake_Forest_Demon_Deacons_men's_basketball_team,"[""SportsSeason""]",Person,-743.693
2013_FIFA_Ballon_d'Or,"[""Event""]",Person,-1056.798
2013_Northeast_Conference_men's_soccer_season,"[""SportsSeason""]",Person,-854.144
2013_World_Men's_Military_Cup,"[""Event""]",Person,-171.542
2014%E2%80%9315_Al-Mina'a_SC_season,"[""SportsSeason""]",Person,-194.574
2014%E2%80%9315_Big_Ten_Conference_men's_basketball_season,"[""other""]",SportsSeason,-206.773
2014%E2%80%9315_Columbia_Lions_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-339.909
2014%E2%80%9315_Davidson_Wildcats_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-391.669
2014%E2%80%9315_Duquesne_Dukes_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-416.344
2014%E2%80%9315_Iona_Gaels_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-379.62
2014%E2%80%9315_Marshall_Thundering_Herd_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-376.276
2014%E2%80%9315_Missouri_Tigers_women's_basketball_team,"[""SportsSeason""]",SportsSeason,-344.402
2014%E2%80%9315_St._John's_Red_Storm_men's_basketball_team,"[""SportsSeason""]",Person,-455.705
2014%E2%80%9315_Stanford_Cardinal_women's_basketball_team,"[""SportsSeason""]",SportsSeason,-371.47
2014%E2%80%9315_Tulsa_Golden_Hurricane_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-381.678
2014%E2%80%9315_UTSA_Roadrunners_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-376.654
2014%E2%80%9315_Vermont_Catamounts_women's_basketball_team,"[""SportsSeason""]",Person,-338.288
2014_FIRS_Men's_B-Roller_Hockey_World_Cup,"[""Event""]",Person,-281.69
2014_NCAA_Division_I_Women's_Soccer_Tournament,"[""Event""]",Person,-438.578
2015_AFC_U-19_Women's_Championship_qualification,"[""Event""]",Person,-274.375
2015_Emperor's_Cup,"[""Event""]",Person,-257.06
2015_FIFA_Women's_World_Cup_qualification,"[""Event""]",Person,-1102.149
2015_President's_Cup,"[""Event""]",Person,-350.563
2015_Women's_British_Open,"[""Event""]",Person,-431.239
26th_People's_Choice_Awards,"[""other""]",Person,-316.714
31st_Army_(People's_Republic_of_China),"[""Organisation""]",Organisation,-817.242
38th_Army_(People's_Republic_of_China),"[""Organisation""]",Organisation,-536.299
4'-phosphopantetheinyl_transferase,"[""Biomolecule""]",Biomolecule,-1050.215
"4,4'-Dichlorodiphenyl_sulfone","[""ChemicalSubstance""]",Species,-337.439
42nd_Army_(People's_Republic_of_China),"[""Organisation""]",Organisation,-176.439
5956_d'Alembert,"[""CelestialBody""]",CelestialBody,-178.327
9_Queen's_Road_Central,"[""Place""]",Place,-671.983
A'takamul_International_School,"[""Organisation""]",Organisation,-101.672
"A._Zerega's_Sons,_Inc.","[""Organisation""]",other,-719.979
A1_Ethniki_Women's_Volleyball,"[""Organisation""]",Person,-504.619
A1_Ethniki_Women's_Water_Polo,"[""Organisation""]",Person,-1281.091
A_Beautiful_Reel._B'z_Live-Gym_2002_Green_~Go%E2%98%85Fight%E2%98%85Win~,"[""Work""]",Work,-298.057
A_Child's_Adventure,"[""Work""]",Work,-115.513
A_Dog's_Life_(1950_film),"[""Work""]",Work,-158.048
A_Dose_of_Rock_'n'_Roll,"[""Work""]",Work,-570.663
A_Flowering_Tree:_A_Woman's_Tale,"[""other""]",Work,-1524.92
A_Grand_Don't_Come_for_Free,"[""Work""]",Work,-498.976
A_Maori_Maid's_Love,"[""Work""]",Work,-326.624
A_Midsummer_Night's_Dream_(1935_film),"[""Work""]",Work,-1368.032
A_Midsummer_Night's_Gene,"[""Work""]",Work,-260.974
A_Swingin'_Affair!,"[""Work""]",Work,-499.687
A_Woman's_Touch_(song),"[""Work""]",Work,-352.996
Aaron_Ben-Ze'ev,"[""Agent"",""Person"",""other""]",other,-12912.295
Aaron_D._O'Connell,"[""Person""]",other,-915.446
Ab%C5%AB_al-Waf%C4%81'_B%C5%ABzj%C4%81n%C4%AB,"[""Agent"",""Person"",""other""]",other,-1070.996
Abby's_Ultimate_Dance_Competition,"[""Work""]",Work,-593.091
Abert's_squirrel,"[""Species""]",Species,-294.106
Abu'l-Faraj_Muhammad,"[""Person""]",Person,-1117.822
Abu'l-Faraj_ibn_al-Jawzi,"[""Agent"",""Person"",""other""]",Person,-355.156
Ace_A's_and_Killer_B's,"[""Work""]",Work,-169.832
Acoustic:_Live_at_Stubb's,"[""Work""]",Work,-480.73
Actors'_Theatre_of_Columbus,"[""Organisation""]",Person,-543.149
Ad%C3%A8le_d'Osmond,"[""Person""]",Person,-712.979
After_Bathing_at_Baxter's,"[""Work""]",Work,-830.831
Age_Ain't_Nothing_but_a_Number,"[""Work""]",Work,-1766.151
Ahna_O'Reilly,"[""Person""]",Person,-215.175
Aidan_O'Rourke_(footballer),"[""Person""]",Person,-753.891
Aiguille_d'Argenti%C3%A8re,"[""Place""]",Place,-487.521
Ain't_Leavin_Without_You,"[""Work""]",Work,-972.615
Ain't_Love_Grand!,"[""Work""]",Work,-212.091
"Ain't_No_'H'_in_Ripcordz,_Dork-Face","[""Work""]",Work,-122.789
Ain't_That_America_(TV_series),"[""Work""]",Work,-614.662
Ain't_What_You_Do,"[""Work""]",Work,-700.778
Aisling_O'Sullivan,"[""Agent"",""Person"",""other""]",Person,-1619.482
Al-Baqa'a_SC,"[""Organisation""]",Person,-175.779
Al-Mu'tazz,"[""Person""]",Person,-4400.337
Al-Muqtana_Baha'uddin,"[""Person""]",Person,-847.707
Al-Musta'sim_(Cairo),"[""Person""]",Person,-240.934
Al-Nu'man_III_ibn_al-Mundhir,"[""Person""]",Person,-2139.743
Al-Safa'_SC,"[""Organisation""]",Organisation,-463.683
Al_Badi',"[""Place""]",Place,-90.93
Al_Emmo_and_the_Lost_Dutchman's_Mine,"[""Work""]",Work,-2693.592
"Al_Khadra',_Jizan","[""Place""]",Place,-95.065
Albert_d'Amade,"[""Agent"",""Person"",""other""]",Person,-368.276
Alder_Hey_Children's_Hospital,"[""Place""]",Place,-550.497
Alero's_Symphony,"[""Work""]",Work,-1373.683
Alessandra_D'Ettorre,"[""Person""]",Person,-182.585
Alexander's_band,"[""other""]",other,-1635.303
Alf's_Button_(1920_film),"[""Work""]",Work,-501.151
All_About_Girls'_Generation:_Paradise_in_Phuket,"[""Work""]",Work,-219.237
All_God's_Children_(song),"[""Work""]",Work,-358.61
All_India_Station_Masters'_Association,"[""Organisation""]",Organisation,-513.559
All_Nite_(Don't_Stop),"[""Work""]",Work,-2265.269
"All_Saints'_Anglican_Cathedral,_Edmonton","[""Place""]",Place,-248.229
"All_Saints'_Church,_Eaton","[""Place""]",Place,-136.007
"All_Saints'_Church,_Gurnard","[""Place""]",Place,-136.527
"All_Saints'_Church,_Huthwaite","[""Place""]",Place,-119.401
"All_Saints'_Church,_King's_Heath","[""Place""]",Place,-140.832
"All_Saints'_Church,_Sawley","[""Place""]",Place,-122.122
All_Saints'_Episcopal_Church_(Lakeland),"[""Place""]",Place,-138.778
Allen's_cotton_rat,"[""Species""]",Species,-133.803
Alone_in_My_King's_Harem,"[""Work""]",Work,-605.697
Aloysius_O'Kelly,"[""Agent"",""Person"",""other""]",Person,-99.269
Alpine_skiing_at_the_1972_Winter_Olympics_%E2%80%93_Women's_slalom,"[""Event""]",Person,-413.775
Alpine_skiing_at_the_1976_Winter_Olympics_%E2%80%93_Women's_downhill,"[""Event""]",Event,-338.487
Alpine_skiing_at_the_2006_Winter_Olympics_%E2%80%93_Men's_combined,"[""Event""]",Person,-2029.466
Alpine_skiing_at_the_2010_Winter_Olympics_%E2%80%93_Men's_downhill,"[""Event""]",Place,-897.793
Altcar_Novices'_Chase,"[""Event""]",Person,-1103.537
Alvin_Schwartz_(children's_author),"[""Agent"",""Person"",""other""]",Person,-503.883
Always_Sanch%C5%8Dme_no_Y%C5%ABhi_'64,"[""Work""]",Work,-409.388
America's_10_Most_Wanted,"[""Work""]",Work,-455.468
America's_Four_Gods,"[""Work""]",other,-2675.075
America's_Got_Talent,"[""Work""]",Work,-2542.87
An_Englishman's_Castle,"[""Work""]",Person,-532.89
An_Orphan's_Tragedy,"[""Work""]",Work,-370.131
Andrew_O'Connor_(actor),"[""Agent"",""Person"",""other""]",Person,-144.664
Ang_Tanging_Ina_Mo_(Last_na_'To!),"[""Work""]",Work,-1177.444
Angie's_Kettle_Corn,"[""other""]",other,-635.82
Angler's_Mail,"[""Work""]",Work,-453.48
Anna_&_Kristina's_Grocery_Bag,"[""Work""]",Work,-475.221
Annabelle's_Affairs,"[""Work""]",Work,-477.507
Annales_d'histochimie,"[""Work""]",Work,-134.415
Anne_Marie_d'Orl%C3%A9ans,"[""Person""]",Person,-298.837
"Anne_O'Brien,_2nd_Countess_of_Orkney","[""Person""]",Person,-586.716
Annie's_Point,"[""Work""]",Work,-132.842
Another_Man's_Treasure,"[""Work""]",Work,-567.39
Ansorge's_free-tailed_bat,"[""Species""]",Species,-409.617
Anthony_O'Regan,"[""Person""]",Person,-219.368
Antonietta_Dell'Era,"[""Person""]",Person,-978.629
Anybody's_Goat,"[""Work""]",Work,-96.295
Apollo's_Chariot,"[""Place""]",Place,-870.077
Apostles'_Creed,"[""other""]",other,-1802.421
Apostrophe_('),"[""Work""]",Work,-1055.272
April_is_in_my_mistress'_face,"[""Work""]",other,-337.365
Arab_Socialist_Ba'ath_Party_%E2%80%93_Syria_Region,"[""Organisation""]",Organisation,-814.608
Archbishop_O'Leary_Catholic_High_School,"[""Organisation""]",Organisation,-290.518
Archery_at_the_2008_Summer_Olympics_%E2%80%93_Men's_team,"[""Event""]",Person,-2043.645
Are_You_from_Dixie_('Cause_I'm_from_Dixie_Too),"[""Work""]",Work,-676.274
Argentina_women's_national_rugby_union_team_(sevens),"[""Organisation""]",Organisation,-286.493
Arisa's_Favorite:_T.K._Songs,"[""Work""]",Work,-1380.544
Armand_D'Angour,"[""Person""]",other,-893.545
Armand_L%C3%A9on_de_Baudry_d'Asson,"[""Person"",""other""]",Person,-239.348
Arney's_Mount_Friends_Meetinghouse_and_Burial_Ground,"[""Place""]",Place,-254.24
Arnhold's_mouse_lemur,"[""Species""]",Species,-845.209
Arnold's_Wrecking_Co.,"[""Work""]",Work,-468.262
Arnot's_chat,"[""Species""]",Species,-258.406
Arthur's_Lady's_Home_Magazine,"[""other""]",other,-1081.489
Arthur_O'Bryan,"[""Person""]",Person,-293.242
Arthur_O'Neill_(harpist),"[""Person""]",Person,-790.933
Artist's_impression,"[""other""]",other,-696.646
Asheron's_Call,"[""Work""]",Work,-865.297
Ashley's_Worlds,"[""Work""]",Work,-253.377
Askold's_Grave_(opera),"[""other""]",other,-691.536
At-Tayyib_Abu'l-Qasim,"[""other""]",Person,-795.433
Athletics_at_the_1896_Summer_Olympics_%E2%80%93_Men's_800_metres,"[""Event""]",Person,-423.448
Athletics_at_the_1904_Summer_Olympics_%E2%80%93_Men's_60_metres,"[""Event""]",Person,-337.92
Athletics_at_the_1908_Summer_Olympics_%E2%80%93_Men's_triple_jump,"[""Event""]",Person,-251.142
Athletics_at_the_1932_Summer_Olympics_%E2%80%93_Men's_1500_metres,"[""Event""]",Person,-193.708
Athletics_at_the_1936_Summer_Olympics_%E2%80%93_Men's_200_metres,"[""Event""]",Person,-194.537
Athletics_at_the_1936_Summer_Olympics_%E2%80%93_Men's_50_kilometres_walk,"[""Event""]",Person,-200.138
Athletics_at_the_1936_Summer_Olympics_%E2%80%93_Men's_pole_vault,"[""Event""]",Person,-245.031
Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men's_high_jump,"[""Event""]",Person,-232.198
Athletics_at_the_1948_Summer_Olympics_%E2%80%93_Men's_javelin_throw,"[""Event""]",Person,-245.396
Athletics_at_the_1952_Summer_Olympics_%E2%80%93_Men's_4_%C3%97_100_metres_relay,"[""Event""]",Person,-191.811
Athletics_at_the_1952_Summer_Olympics_%E2%80%93_Men's_800_metres,"[""Event""]",Person,-180.392
Athletics_at_the_1952_Summer_Olympics_%E2%80%93_Women's_discus_throw,"[""Event""]",Person,-254.714
Athletics_at_the_1952_Summer_Olympics_%E2%80%93_Women's_long_jump,"[""Event""]",Person,-245.133
Athletics_at_the_1956_Summer_Olympics_%E2%80%93_Men's_800_metres,"[""Event""]",Person,-472.56
Athletics_at_the_1960_Summer_Olympics_%E2%80%93_Women's_shot_put,"[""Event""]",Person,-120.019
Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Women's_4_%C3%97_100_metres_relay,"[""Event""]",Person,-553.347
Athletics_at_the_1964_Summer_Olympics_%E2%80%93_Women's_shot_put,"[""Event""]",Person,-300.898
Athletics_at_the_1968_Summer_Olympics_%E2%80%93_Men's_javelin_throw,"[""Event""]",Person,-255.398
Athletics_at_the_1968_Summer_Olympics_%E2%80%93_Men's_marathon,"[""Event""]",Person,-347.068
Athletics_at_the_1968_Summer_Olympics_%E2%80%93_Women's_800_metres,"[""Event""]",Person,-184.22
Athletics_at_the_1972_Summer_Olympics_%E2%80%93_Men's_50_kilometres_walk,"[""Event""]",Person,-421.134
Athletics_at_the_1972_Summer_Olympics_%E2%80%93_Men's_800_metres,"[""Event""]",Person,-137.67
Athletics_at_the_1972_Summer_Olympics_%E2%80%93_Men's_discus_throw,"[""Event""]",Person,-374.335
Athletics_at_the_1972_Summer_Olympics_%E2%80%93_Men's_javelin_throw,"[""Event""]",Person,-239.809
Athletics_at_the_1976_Summer_Olympics_%E2%80%93_Men's_400_metres_hurdles,"[""Event""]",Person,-496.61
Athletics_at_the_1996_Summer_Olympics_%E2%80%93_Men's_110_metres_hurdles,"[""Event""]",Person,-190.636
